日付,始値,高値,安値,終値,13週平均,26週平均,VWAP,出来高,13週平均,26週平均,売残,買残,倍率
20200901,       2000,     2005.5,     1965.5,     1975.5,    1996.76,    2000.98,         --,        7528300,    23265253.84,    26413515.38,               ,               ,           
20200828,     2003.5,       2032,       1970,       1978,    2012.34,    2006.25,         --,       16941700,     24357392.3,       27375750,        1081900,        4306900,       3.98
20200821,       2002,       2029,     1982.5,       2005,    2024.61,    2012.63,         --,       13188700,    25083323.07,     28003642.3,        1212900,        4299600,       3.54
20200814,       1968,       2042,     1965.5,     2027.5,    2024.69,    2022.76,         --,       16099200,    25614261.53,    28175038.46,        1452000,        4295500,       2.96
20200807,       1934,     1998.5,       1903,     1954.5,     2023.3,    2032.34,         --,       29608400,    25896546.15,       28273150,        1142500,        4687800,        4.1
20200731,       1900,     1911.5,     1796.5,       1812,    2024.53,    2045.67,         --,       42215800,    24556315.38,    28185684.61,        1115400,        5848600,       5.24
20200722,       1944,       1947,       1908,     1909.5,    2037.53,    2065.05,         --,       14942200,    22880569.23,    27475230.76,         977400,        4991300,       5.11
20200717,       1954,     1986.5,     1943.5,     1948.5,    2046.23,    2081.88,         --,       20737200,    23405053.84,    27673765.38,        1041900,        4376000,        4.2
20200710,       1980,       2011,     1927.5,       1930,    2048.69,    2099.78,         --,       22234100,    23258215.38,     27506992.3,         979500,        4564800,       4.66
20200703,     1998.5,       2023,       1954,     1986.5,     2053.3,    2118.46,         --,       28595200,    23549438.46,     27853192.3,        1298800,        4377500,       3.37
20200626,     2175.5,     2182.5,       2088,     2100.5,    2047.53,    2135.61,         --,       40173300,    24161369.23,     26928392.3,        6700800,        4355100,       0.65
20200619,     2142.5,     2183.5,     2104.5,     2181.5,    2041.19,    2149.05,         --,       23866000,    24756884.61,     26842992.3,        1394200,        3934100,       2.82
20200612,       2202,       2234,       2108,       2149,    2019.92,    2162.17,         --,       26318200,    26850469.23,    27427138.46,        1283700,        3917800,       3.05
20200605,     2135.5,     2182.5,       2132,       2178,    2005.19,    2175.73,         --,       21726100,    29561776.92,    27496130.76,        1390900,        3687700,       2.65
20200529,       2022,       2168,       2016,     2137.5,    2000.15,    2188.13,         --,       26378800,    30394107.69,     27641642.3,        1237300,        3713500,          3
20200522,       2016,       2055,       1998,       2006,    2000.65,    2201.86,         --,       20090900,    30923961.53,    27409346.15,        1248600,        4133600,       3.31
20200515,       2000,     2044.5,       1999,     2009.5,    2020.84,    2220.21,         --,       19768900,    30735815.38,    27476780.76,        1030500,        3870900,       3.76
20200508,     1960.5,     1976.5,     1932.5,     1970.5,    2041.38,    2238.38,         --,       12185400,    30649753.84,    27546780.76,         864200,        4164000,       4.82
