日付,始値,高値,安値,終値,13週平均,26週平均,VWAP,出来高,13週平均,26週平均,売残,買残,倍率
20200901,       5620,       5810,       5570,       5740,       5720,    5088.84,         --,        1308400,     4304876.92,     5533080.76,               ,               ,           
20200828,       5880,       5980,       5560,       5610,    5679.23,    5025.19,         --,        3495900,     4488061.53,     5758165.38,         402900,         489800,       1.22
20200821,       5860,       6190,       5800,       5910,    5665.38,    4966.92,         --,        3538100,     4589261.53,        5843500,         433400,         388400,        0.9
20200814,       5860,       6000,       5500,       5910,    5616.15,    4906.92,         --,        4296900,     4715723.07,     5939388.46,         441000,         345200,       0.78
20200807,       6010,       6100,       5850,       5930,     5537.3,    4843.26,         --,        3808100,     4801361.53,     5903880.76,         411900,         342700,       0.83
20200731,       5800,       6200,       5510,       5950,    5428.84,    4783.46,         --,        6096500,     4648746.15,     5988907.69,         426700,         375500,       0.88
20200722,       5910,       6230,       5900,       6200,    5318.46,    4724.42,         --,        3430000,     4656853.84,     6173373.07,         505400,         495500,       0.98
20200717,       6010,       6080,       5770,       5850,    5186.15,    4632.69,         --,        4207400,     5341153.84,     6190046.15,         478500,         376100,       0.79
20200710,       5740,       6410,       5700,       5980,    5068.46,    4549.03,         --,        9601100,     5540130.76,     6179476.92,         505400,         402900,        0.8
20200703,       5390,       5600,       5220,       5600,    4917.69,    4469.42,         --,        3382800,     5294276.92,     6017926.92,         574400,         243300,       0.42
20200626,       5170,       5430,       5160,       5410,    4800.38,    4400.76,         --,        3471700,      5586992.3,     5911626.92,         528300,         298700,       0.57
20200619,       5030,       5240,       4980,       5170,    4695.38,       4340,         --,        4617700,     5965538.46,     5909988.46,         461300,         340000,       0.74
20200612,       5250,       5250,       4940,       5100,    4558.84,    4288.84,         --,        4708800,     6238876.92,     5879057.69,         506500,         339800,       0.67
20200605,       5460,       5480,       5090,       5210,    4457.69,    4241.53,         --,        3689800,     6761284.61,      5869142.3,         566600,         269400,       0.48
20200529,       5320,       5570,       5200,       5430,    4371.15,    4189.03,         --,        4811500,     7028269.23,     5932723.07,         564300,         234200,       0.42
20200522,       4905,       5410,       4880,       5270,    4268.46,    4125.57,         --,        5182100,     7097738.46,     6015761.53,         593000,         255200,       0.43
20200515,       4545,       4885,       4415,       4885,    4197.69,    4058.07,         --,        5410200,     7163053.84,     6025415.38,         535900,         253400,       0.47
20200508,       4415,       4595,       4410,       4520,    4149.23,     4007.3,         --,        1824100,        7006400,     6150423.07,         407700,         300500,       0.74
20200501,       4475,       4615,       4405,       4515,    4138.07,    3979.03,         --,        6201900,     7329069.23,     6365873.07,         407700,         300500,       0.74
