日付,始値,高値,安値,終値,13週平均,26週平均,VWAP,出来高,13週平均,26週平均,売残,買残,倍率
20200901,      12260,      12600,      12210,      12220,   12406.92,   12862.69,         --,         643100,     1020153.84,     1144711.53,               ,               ,           
20200828,      11870,      12430,      11730,      12090,   12574.61,   12909.61,         --,         879900,     1076730.76,     1175461.53,          77100,         114100,       1.48
20200821,      11940,      12240,      11750,      11960,    12682.3,    12942.3,         --,         781300,     1108153.84,        1188650,          71100,         119600,       1.68
20200814,      11170,      12350,      11020,      12000,    12752.3,      13030,         --,        1527900,     1119553.84,     1203065.38,          79500,         118200,       1.49
20200807,      10650,      11430,      10570,      10990,   12850.76,   13153.84,         --,        1566700,     1091369.23,     1184969.23,          86400,         131900,       1.53
20200731,      12020,      12120,      10590,      10600,   13013.07,   13303.07,         --,        1299500,        1022600,     1218323.07,         115500,         128700,       1.11
20200722,      12200,      12400,      11980,      12020,   13169.23,   13461.92,         --,         537500,     1023284.61,     1253780.76,          84900,         123700,       1.46
20200717,      12000,      12670,      11880,      12210,   13317.69,   13623.07,         --,         898200,        1050100,     1274480.76,          88100,         128700,       1.46
20200710,      13100,      13370,      12010,      12020,   13479.23,   13801.15,         --,        1070700,     1060646.15,     1286873.07,          84700,         130500,       1.54
20200703,      13010,      13120,      12740,      13010,   13606.92,   14015.38,         --,         865800,     1063007.69,     1313688.46,          99100,         114700,       1.16
20200626,      14510,      14510,      13000,      13210,   13583.84,   14130.38,         --,        1277500,     1075346.15,     1283946.15,          96200,         120900,       1.26
20200619,      14290,      14640,      13860,      14600,   13645.38,   14242.69,         --,         862700,      1121992.3,     1254226.92,         111600,          68500,       0.61
20200612,      14600,      14990,      14210,      14360,   13530.76,   14300.38,         --,        1051200,     1186438.46,     1261503.84,         111000,          73100,       0.66
20200605,      13690,      14910,      13540,      14400,   13318.46,   14377.69,         --,        1378600,     1269269.23,     1256473.07,         116800,          83500,       0.71
20200529,      13070,      14040,      12880,      13490,   13244.61,   14480.76,         --,        1288400,      1274192.3,     1232853.84,         101500,         105600,       1.04
20200522,      13370,      13670,      12780,      12870,    13202.3,    14632.3,         --,         929500,     1269146.15,     1230711.53,         112200,         133100,       1.19
20200515,      13270,      13930,      13010,      13280,   13307.69,   14810.38,         --,        1161500,     1286576.92,     1248165.38,         139100,         116600,       0.84
20200508,      12190,      13100,      12150,      13100,   13456.92,   14956.92,         --,         672700,     1278569.23,     1243403.84,         139800,         132800,       0.95
20200501,      13990,      14360,      12220,      12630,   13593.07,   15123.07,         --,        1308400,     1414046.15,     1266780.76,         139800,         132800,       0.95
20200424,      14250,      14450,      13720,      13950,   13754.61,   15348.84,         --,         886100,     1484276.92,     1290211.53,         123300,         103200,       0.84
20200417,      13510,      14550,      13400,      14310,   13928.46,   15516.53,         --,        1035300,     1498861.53,     1295069.23,         141500,         106800,       0.75
20200410,      13000,      13980,      12660,      13680,   14123.07,   15693.84,         --,        1101400,        1513100,     1288880.76,         133700,         122500,       0.92
20200403,      13620,      13980,      12550,      12710,   14423.84,   15890.38,         --,        1026200,     1564369.23,      1293692.3,         122000,         119800,       0.98
20200327,      13230,      14100,      12280,      14010,   14676.92,   16086.53,         --,        1883900,     1492546.15,     1296376.92,         158600,         114600,       0.72
20200319,      11710,      13280,      10870,      13110,      14840,      16255,         --,        1700500,     1386461.53,     1254515.38,         130800,         133500,       1.02
20200313,      13000,      13560,      10870,      11600,      15070,   16475.76,         --,        2128000,     1336569.23,      1216742.3,          86100,         153900,       1.79
20200306,      12690,      13980,      12550,      13440,   15436.92,   16755.76,         --,        1442600,     1243676.92,     1174588.46,          89200,         201600,       2.26
20200228,      13400,      14070,      12830,      12940,   15716.92,   16923.84,         --,        1222800,     1191515.38,      1154592.3,          90800,         210000,       2.31
20200221,      15000,      15060,      14170,      14240,    16062.3,   17128.07,         --,        1156100,     1192276.92,     1149953.84,         103800,         228200,        2.2
20200214,      14820,      15450,      14730,      15220,   16313.07,   17261.53,         --,        1057400,     1209753.84,     1140130.76,          85400,         217000,       2.54
20200207,      13500,      15130,      13300,      14870,   16456.92,   17340.38,         --,        2433900,     1208238.46,     1138507.69,          73600,         225300,       3.06
20200131,      15170,      15560,      14600,      14730,   16653.07,   17416.15,         --,        2221400,     1119515.38,     1106869.23,          67000,         249900,       3.73
20200124,      16970,      17250,      16110,      16210,   16943.07,   17525.76,         --,        1075700,     1096146.15,        1103700,          57300,         202000,       3.53
20200117,      17870,      17870,      16480,      16840,   17104.61,   17632.69,         --,        1220400,     1091276.92,     1102330.76,          63100,         161400,       2.56
20200110,      16000,      17630,      15980,      17590,   17264.61,      17715,         --,        1767900,     1064661.53,        1096350,          74400,         139600,       1.88
20191230,      16230,      16230,      16000,      16000,   17356.92,   17731.53,         --,          92500,     1023015.38,     1056415.38,          62400,         218400,        3.5
20191227,      16290,      16470,      16030,      16130,   17496.15,   17813.46,         --,         504800,     1100207.69,     1102315.38,               ,               ,           
20191220,      16210,      16630,      15910,      16100,      17670,   17888.07,         --,        1051900,     1122569.23,        1128200,          61500,         226400,       3.68
20191213,      17100,      17110,      16300,      16370,   17881.53,   17951.53,         --,         920400,     1096915.38,      1138642.3,          60200,         209500,       3.48
20191206,      17620,      17770,      16950,      17080,   18074.61,   18015.38,         --,         764500,        1105500,     1146930.76,          64400,         174400,       2.71
20191129,      17400,      17860,      17350,      17430,   18130.76,   18021.15,         --,        1232700,     1117669.23,      1160042.3,          69900,         141300,       2.02
20191122,      17160,      17930,      17070,      17500,   18193.84,   18011.15,         --,        1383300,     1107630.76,        1166300,          65100,         143100,        2.2
20191115,      17380,      17860,      16910,      17090,      18210,   18023.84,         --,        1037700,     1070507.69,     1157176.92,          62400,         168100,       2.69
20191108,      18510,      18520,      17320,      17420,   18223.84,   18071.92,         --,        1280500,     1068776.92,     1171423.07,          65700,         141600,       2.16
20191101,      18260,      19560,      17960,      18500,   18179.23,   18106.53,         --,        1917600,     1094223.07,     1193296.15,          68900,          63900,       0.93
20191025,      18890,      19020,      17940,      18310,   18108.46,   18196.92,         --,        1012400,     1111253.84,     1192057.69,          76400,          69700,       0.91
20191018,      18980,      19270,      18660,      18920,   18160.76,   18332.69,         --,         874400,     1113384.61,        1189600,          99300,          58700,       0.59
20191011,      17850,      18980,      17720,      18790,   18165.38,      18415,         --,        1226500,     1128038.46,     1206261.53,          88700,          70800,        0.8
20191004,      18250,      18490,      17730,      17810,   18106.15,   18460.38,         --,        1096000,     1089815.38,     1210688.46,          72800,         101200,       1.39
20190927,      18950,      19180,      18260,      18390,   18130.76,    18557.3,         --,         795500,     1104423.07,     1227565.38,          90200,          89500,       0.99
20190920,      18960,      19460,      18760,      18850,   18106.15,   18602.69,         --,         718400,     1133830.76,     1239480.76,          97200,          75500,       0.78
20190913,      17900,      19040,      17800,      18880,   18021.53,   18590.76,         --,        1032000,     1180369.23,     1263076.92,          91600,          74800,       0.82
